Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
d/b+3+4,!,40,61~63,KND,KND,KND,
"d/b+3+4, b, b (Cancel)",(LFS),,61~63,,,,
b+1,m,18,15,-13,0,CS (0),
b+2,h,18,13~15,-9~-7,+15~+17kg,+15~+17kg,
b+3,m,20,16~18,-19~-17,Launch (JG?),Launch (JG?),
b+4,h(RFF),20,13~14,-9~-8,+2~+3,CS,
u/b+3,m,8,16~17,-14~-13,-3~-2,-3~-2,
"u/b+3, 3","m, h (TJ), (LFS)","8,15",js17~,+3~+5,KND,KND,Tail spin
"u/b+3, 4","m, m, (RFS)","8,16",17~,-4,+12g,+12g,
u/b+4,m (TJ),18,17~20 js5~15,-8~-5,+10~+13,+10~+13,
u+3,"h (TJ), (LFS)",33,20 js9~,+3,uKZD,uKZD,
u+4,"m (TJ), (RFS)",18,16~18 js9~,0~+2,+11~+13g,+11~+13,
u+3+4,m (TJ),20,25~26 js8~,-7~-6,KND,KND,
u/f+2,m (TJ),22,26 js13~,+5s,+4s,KND,
u/f+3,m (TJ),15,28~29 js9~,-6~-5,KND,KND,
"u/f+3, 4","m (TJ), m","15,14",js1~,-8,Launch (JG?),Launch (JG?),
"u/f+3, 4 (when second hit inputted)",m (TJ),15,js9~,-13~-12,KND,KND,
"u/f+3, 4, 3","m (TJ), m, h","15,14,25",9~,,KND,,
u/f+4,"h (TJ), (RFS)",12,22~23 js1~,-2~-1,+4~+5,+4~+5,
"u/f+4, 4","h (TJ), m (TJ), (RFS)","12,12",js1~5,0~+1,+6~+7,+6~+7,
"u/f+4, 4, 4","h (TJ), m (TJ), l, (RFS)","12,12,12",1~5,+1~+2,+7~+8,+7~+8,
u/f+3+4,mh (TJ),"10,8","14,25 js9~",-10,+1,+1,
"u/f+3+4, 4","mh (TJ), m (TJ)","10,8,13",js1~,-13~-12,+1~+2,+1~+2,
"f, F+3",m(RFF),24,22~26 (23~),+6~+10,+6~+10s,+6~+10s,
"f, F+4",m(RFF),24,17~18 (18~),-6~-5,KND,KND,
"f, n, d, d/f+3","m, (LFS)",27,18(21~),+3,KND,CS,
"f, n, d, d/f+4",m,18,16(19~),-18,Launch(JG?),Launch(JG?),
"f, n, d/f+4",m,18,16(18~),-10,Launch(JG?),Launch(JG?),
"f, f, f+3",m (TJ),30,22~24a (25~) js3~,+6~+8,KND,KND,
"f, f, f+4",h,28,18~19a (21~) js14~,+5~+6,+8~+9b,+8~+9b,
WS+3,m,20,14~18,-7~-3,KND,KND,
WS+4,m,12,11~12,-3~-2,+8~+9,+8~+9,
"WS+4, 4","m, m(RFF)","12,13",11~12,-5~-1,+4~+8s,+4~+8s,
WS+3+4,m(RFF),16,20~21b,-9~-8,+2~+3,+2~+3,
"WS+3+4, 3","m, m","16,20",20~21,-5~0,+6~+11s (KND),KND,
SS+3,m,15,18~19 (28~),-12~-11,-1~0,FS (+5~+6),
"SS+3, 3","m, h(LFS)","15,18",18~19 (28~),+3~+4,+14~+15g,+14~+15,
SS+4,l(RFF),18,19~20 (29~),-13~-12,+5~+6s,KND,
LFF BT 4,m(RFF),20,14~16,-13~-11,Launch (JG?),Launch (JG?),
RFF 1+2,(LFF),b,14~16,,,,
RFF 3+4,(LFF),,14~16,,,,
RFF 1,h,10,10,0,+6,+6,
"RFF 1, 1","h, m(LFF)","10,12",10,-9,+2,+2,
RFF 2,h,6,10,+2,+8,+8,
"RFF 2, 1","h, h","6,10",10,0,+6,+6,
"RFF 2, 1, 1","h, h, m(LFF)","6,10,12",10,-9,+2,+2,
"RFF 2, 3","h, h(LFF)","6,20",10,-9~-7,+2~+4,CS,
"RFF 2, 4","h, h(RFF)","6,12",10,-8,+3,+3,
"RFF 2, 4, b or f","h, h, (RFS)","8,16",10,+7,+18g,+18g (+14),
"RFF 2, 4, d or u","h, h, (RFS)","8,16",10,+6,+17g,+17g (+13),
"RFF 2, 4, 3","h, h, m","6,12,20",10,-15~-9s,KND,KND,
"RFF 2, 4, 4","h, h, h(LFF)","6,12,23",10,-5~-4,KND,KND,Tail spin
"RFF 2, b+4","h, h (TC)(LFF)","6,27",10,-9~-8,+13kg,+13kg,Tail spin
RFF 3,m(LFF),13,16,-4,+7,+7,
"RFF 3, 4","m, h, (RFS)","13,16",16,+9~+10g,+20~+21g,+10~+11,
"RFF 3, F+4","m, h, (RFF)","13,16",16,-7~-6,+4~+5,-6~-5,
RFF 3~4,h(LFF),35,27~30 (27~) pc8~26,+4~+7y,KND,KND,"Homing, Tail spin, Power crush"
RFF 4,h(RFF),12,12,-8,+3,+3,
"RFF 4, b or f","h, (RFS)",12,12,+7,+18g,+18g (+14),
"RFF 4, d or u","h, (RFS)",12,12,+6,+17g,+17g (+13),
"RFF 4, 3","h, m, (Special)","12,20",12,-15~-9 OC,KND,KND,
"RFF 4, 4","h, h(LFF)","12,23",12,-5~-4,KND,KND,Tail spin
RFF f+4,(Special),,35~,,,,
RFF f+4~4,m,20,18~20 (18~),-12~-10,Launch (JG?),Launch (JG?),
RFF f+3,"h, (LFS)",21,14~17,+12~+15g,+23~+26g,+23~+26g,
"RFF f+3, B",h(RFF),21,14~17b,-11~-8,0~+3,0~+3,
RFF d/f+3,m(LFF),25,20~21,-11~-10,KND,KND,"Homing, Tail spin"
RFF d/f+4,m,12,13,-7,+1,+1,
"RFF d/f+4, b or f","m, (RFS)",12,13,+7,+15g,+15,
"RFF d/f+4, d or u","m, (RFS)",12,13,+6,+14g,+14,
RFF d+4,l,19,19,-11,+5,+15g,
RFF d/b+3,l (TC),13,17 cs10~,-11,-3,+4,
"RFF d/b+3, 3","l, h(LFF)","13,28",17 10~,-2~0y,KND,KND,Tail spin
RFF b+2,m,17,16~17,+2~+3,+6~+7s,KND,
RFF b+3,h(LFF),20,13~14,-9~-8,+2~+3,CS,
RFF b+4,h (TC)(LFF),36,18~19 cs6~17,-9~-8,+13kg,+13kg,Tail spin
"RFF f, F+3",m (TJ)(LFF),22,22~25a (23~) js3~,-6~-3s,KND,KND,
"RFF f, F+4",m(LFF),18,22(23~),-17,-6,-6,
"RFF f, F+4, 3","m, h (TJ)","18,20",js5~,+14~+17,KND,KND,
RFF BT 3,m(LFF),20,14~16,-13~-11,Launch (JG?),Launch (JG?),
RFF BT 4,m(RFF),16,20~21b,-9~-8,+2~+3,+2~+3,
"RFF BT 4, 3","m, m","16,20",20~21,-5~0,+6~+11s (KND),KND,
RFF BT d+3,l (TC)(LFF),20,18~19s cs4~,-13~-12,-2~-1,KND,
f+3,(Special),,18~19 4~,,,,
LFS 3+4,(RFS),,18~19 4~,,,,
LFS 1,h(LFF),7,13,+5,+7,+7,
LFS 2,m(RFF),15,16,-2,+9,+9,
LFS 3,m(LFF),12,14,-13,-7,-2,
"LFS 3, 3","m, m(LFF)","12,15",14,-14,KND,KND,
"LFS 3, F","m, (LFS)",12,14,+2,+8,+13,
"LFS 3, 4","m, h, (RFS)","12,15",14,+8~+12,+19~+23g,+19~+23g,
"LFS 3, d/f or f+4","m, h(LFF)","12,25",14,-4~+2y,KND,KND,
LFS 4,"h (TJ), (RFS)",24,14~16 js8~,+2~+4,KND,KND,
LFS 1+4,! (TJ)(LFF),80,66~69 js54~,KND,KND,KND,
"LFS 1+4 , b, b (Cancel)",(LFF),,66~69 54~,,,,
LFS f+3,"m, (LFS)",25,19~20,+3~+4,KND,CS (20~21),
LFS f+4,m(RFF),17,16~18,-7~-5,+1~+3,+4~+6,
"LFS f+4, 3","m, h (TJ)(RFF)","17,26",js17~,+3~+5,KND,KND,
LFS d/f+3,m(LFF),17,22~23,-12~-11,+1~+2,CS,
"LFS d/f+3, 4","m, m(LFF)","17,23",22~23,-14~-13,KND,KND,
"LFS d/f+3, f (Cancel)",(LFS),,22~23,,,,
LFS d+3,l(LFF),7,16,-17,-6,-6,
"LFS d+3, 4","l, h, (RFS)","7,10",16,+8~+12g,+14~+18g,+19~+23,
LFS d or d/f+4,l (TC)(LFF),12,28~30s cs4~,-23,KND,KND,
LFS d/b+4,l(RFF),17,20~21,-12~-11,+4~+5,KND,
LFS b+1,m,18,15,-13,0,CS (0),
LFS b+3,m (TJ)(RFF),23,20~22 pc8~19 js15~,-12~-10,+14~+16kg,+14~+16gk,"Homing, Tail spin, Power crush"
LFS b+4,m(RFF),28,16~17,-8~-7,+7~+8,CS,
LFS u/f+3,m (TJ)(LFF),13,28~29 js9~,-6~-5,KND,KND,
"LFS u/f+3, 4","m (TJ), m(LFF)","13,12",js1~,-8~-7,Launch (JG?),Launch (JG?),
"LFS u/f+3, 4, 3","m (TJ), m, h(LFF)","13,12,24",1~,,KND,,
LFS u/f+4,m (TJ)(LFF),18,23 js7~20,-15,Launch(JG?),Launch(JG?),
LFS u/f+3+4,mh (TJ)(LFF),"10,8","14,25 js9~",-10,+1,+1,
"LFS u/f+3+4, 4","mh (TJ), m (TJ)(LFF)","10,8,13",js1~,-13~-12,+1~+2,+1~+2,
LFS f or b or u or d,(Special),,1~,,,,
"f, n+4",(Special),,1~,,,,
RFS 3+4,(LFS),,1~,,,,
RFS 1,m(LFF),15,16,-2,+9,+9,
RFS 2,h(RFF),7,13,+5,+7,+7,
RFS 3,"h (TJ), (LFS)",24,14~16 js8~,+2~-4,KND,KND,
RFS 4,m(RFF),20,14,-14,KND,KND,
RFS f+3,m(LFF),17,16~18,-7~-5,+1~+3,+4~+6,
"RFS f+3, 4","m, h (TJ)(LFF)","17,26",js17~,+3~+5,KND,KND,
RFS f+4,"hh, (RFS)","8,10","8,18",+1,+3,+7,
"RFS f+4, 4","hh, h(RFF)","8,10,12","8,18",-6,Launch (JG?),Launch (JG?),
RFS d/f+4,m(LFF),14,17~19,-5~-3,KND,KND,
RFS d/b or d or d/f+3,l (TC)(LFF),12,28~30s cs4~,-23,KND,KND,
RFS d+4,l(LFF),11,20~21,-31,-1~0 (KND),-1~0 (KND),
"RFS d+4, 3","l, m(LFF)","11,25",20~21,-14,KND,KND,
RFS b+3,m(LFF),21,16~17,-15~-14,Launch (JG?),Launch (JG?),
RFS b+4,m (TJ)(LFF),23,20~22 pc8~19 js15~,-12~-10,+14kg,+14kg,"Homing, Tail spin, Power crush"
RFS f or b or u or d,(Special),,20~22 8~19 15~,,,,
