Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
d+3+4,m,24,19~21,-13~-11,KND,KND,
d/b+2,m (TC),20,20 cs6~,-11,KND,KND,
d/b+4,m,12,16,-6,+5,+5,
"d/b+4, 2","m, m",1211,16,-11,0,0,
"d/b+4, 2, 3","m, m, m",121123,16,-16,KND,CS,
b+1,h,10,11,-6,0,+9,
"b+1, 1","h, h",1010,11,-3,+3,+3,Tail spin
"b+1, 2","h, m",1012,11,-5,+6,+6,
"b+1, 2, 4","h, m, m",101212,11,-10,+1,+1,
"b+1, 2, 4, 4","h, m, m, h",10121220,11,-5~-4,KND,KND,
b+2,h,12,14,+1,+7,Throw(KND),
b+2 (Counter hit),"h, (throw)",141213,14,,,Throw(KND),
b+3,m,18,22~23,-6~-5,+13~+14kg,+13~+14kg,Homing
b+4,m,14,16,-5,+6,+6,
"b+4, 3","m, m",1414,16,-6,+5,+5,
"b+4, 3, 4","m, m, m",141423,16,-20~-16,KND,KND,
"b+4, 3, d+4","m, m, l",141412,16,-13,+3,+3,
"b+4, 3, d+4~4","m, m, m",141420,16,-11,CS,CS,
b+1+2,h?,21,16~17,-9~-8,CS,CS,
b+2+3,h! (TJ),50,60~62 js50~,CS,CS,CS,
u/b or u or u/f+3,m (TJ),20,28~29 js9~,-9~-8,KND,KND,
u/b+4,m (TJ),11,15~17 js9~,-20~-18,-8~-6,-8~-6,
u+4,m (TJ),15,15~17 js9~,-13~-11,KND,Launch (JG?),
u/f+4,m (TJ),13,15~17 js9~,-13~-11,Launch (JG?),Launch (JG?),
u/f+3+4,mm,1024,"14~15, 24~26 js12~",-13~-11,KND,KND,
"f, F+3",m,25,24~26 (25~),+6~+8,KND,KND,
"f, F+4",m,20,16~18 (17~),-9~-7,KND,KND,"Homing, Tail spin"
"f, f, f+3",m (TJ),30,21~24 (24~) js3~,+6~+9,KND,KND,
WS+1,m,12,13,-4,+7,+14,
WS+2,m,10,13,-11,0,0,
"WS+2, 1","m, h",1012,13,-13~-12,KND,KND,
"WS+2, 1, b","m, h, (SWB)",1012,13,-8~-7,KND,KND,
WS+3,m,20,16,-7,KND,CS,
WS+4,m,16,11~12,-6~-5,+5~+6,+5~+6,
FC+d/f+4,l,25,21 cs1~,-15,+1,CS,
"FC+d/f, d, d/f",(Special),,s cs1~,,,,
1+2+3,(Special),,1~,,,,
From certain moves (to SWS),(SWS),,1~,,,,
SWS 1,h,18,14~15,-7~-6s,+5~+6s,CS,
SWS 2,m,17,18~19,-6~-5,+5~+6,CS,
SWS 3,l,17,20,-13,-2,KND,Homing
SWS 4,m,23,23 js12~,-9,KND,KND,
SWS F (to CD),(CD),,23 12~,,,,
b+3+4 From certain moves (to SWB),(Special)?(SWB),,23 12~,,,,
SWB 1,h,10,15~16 (30~),-13~-12,CS,CS,
SWB 2,m,21,17(32~),-13,KND,CS,
SWB F (to CD),(CD),,17(32~),,,,
"f, n, d, D/F From certain moves (to CD)",(CD),,17(32~),,,,
"f, n, d, d/f+1",h,8,9~10 (12~),-4~-3,+7~+8,+7~+8,
"f, n, d, d/f+1, 3","h, h",821,9~10 (12~),-9~-8,KND,KND,Tail spin
"f, n, d, d/f+2",m?,20,17~18 (20~),-14~-13,Launch (JG?),Launch (JG?),
"f, n, d, d/f+3",l,23,20(23~),-13,+4,KND,
"f, n, d, d/f+4",m,16,11~12 (14~),-6~-5,+5~+6,+5~+6,
