Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
BT 4,mm (TC),1020,"26~28, 55~56b 1js13~ 2js1~14",-11~-10,KND,KND,
"BT 4, 3+4","mm (TC), mm (TJ)",10201020,b js14~31,-10~-8,KND,KND,
BT 1+2,mm,520,"13~14, 19~20",-10~-9s,KND,KND,
BT 3+4,m (TJ),18,29~32 js5~,-4~-1,+5~+8s,+5~+8s,
"BT 3+4, 2","m (TJ), m",1821,29~32 5~,-11~-9,KND,KND,Tail spin
BT d+3,l (TC),16,17~19 cs4~,-17~-15,-1~+1,+2~+4s,
"BT d+3, 4","l (TC), m",1624,17~19 4~,-13~-11,KND,KND,
BT d+4,l,12,10s cs1~,-11,+3,+3,
BT d+3+4,l (TC)(BT),25,22~25b cs4~,-26,KND,KND,Homing
"BT d+3+4, F",l (TC),25,22~25 cs4~,-26,KND,KND,Homing
BT b+3,(Special) (TJ),,22~25 4~,,,,
BT b+4,(Special) (TJ),,22~25 4~,,,,
