Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
"d/f+3, 1, 2, f+1+2","m, h, h, m",1310622,14,-14,KND,KND,
"d/f+3, 2","m, h",1312,1433,+1,+2,+12,
"d/f+3, 2, f or d/f","m, h, (Special)",1312,1433,-1,0,+10,
"d/f+3, 2, d or u","m, h, (Special)",1312,1433,0,+1,+11,
"d/f+3, 2, 1","m, h, h",13126,1433,-3,+4,+4,
"d/f+3, 2, 1, 4","m, h, h, l (TC)",1312612,s cs10~,-13,-2,-2,
"d/f+3, 2, 3","m, h, m?",131221,10~,-17~-16,Launch (JG?),Launch (JG?),
"d/f+3, 2, 4","m, h, h",131222,10~,-6,KND,KND,Tail spin
"d/f+3, 2, d+3","m, h, l (TC)",131210,s cs10~,-14,-3,-3,
"d/f+3, 2, d+3, 2","m, h, l (TC), m",13121010,10~,-13~-11,Launch (JG?),Launch (JG?),
"d/f+3, 2, d+3, 4","m, h, l (TC), h",13121018,10~,-6,+5,Launch (JG?),
"d/f+3, 2, d+3, 4 , 3","m, h, l (TC), h, m",1312101820,10~,+2~+3s,+5~+6s,KND,
"d/f+3, 3","m, h",136,10~,-14,-3,-3,
"d/f+3, 3, 3","m, h, h",136,10~,-14,-3,-3,
"d/f+3, 3, 3, 4","m, h, h, h",136820,10~,-6,KND,CS,Tail spin
"d/f+3, 4","m, h (TJ)",1321,a js20~,-4~-3,+7~+8,+7~+8,
"d/f+3, 4, 4","m, h (TJ), l",132120,js1~11 cs15~,-13~-11,KND,YKU,
"d/f+3, 4, 3+4","m, h (TJ), mm",3121821,"js1~9, js28~41",-6~0,KND,KND,
"d/f+3, f+4","m, h",1320,"1~9, 28~41",-6,KND,CS,Tail spin
d/f+4,m,15,12,-4,+7,+7,
d/f+1+2,mm,510,"16~17, 18~19",-3~-2,+20~+21kg,+20~+21kg,
d/f+1+2 (First hit only),m,5,16~17,-5~-4,+7~+8,+7~+8,Homing
d+1 or FC+1,Sm,5,10s cs4~,-5,+6,+6,
"d+1, 2 or FC+1, 2","Sm (TC), Sm (TC)",58,s cs1~,-6,+5,+5,
"d+1, 2, 4 or FC+1, 2, 4","Sm (TC), Sm (TC), m",5810,1~,-14~-12,-3~-1,-3~-1,
"d+1, n+4 or FC+1, n+4","Sm (TC), m",510,1~,-11~-10,0~+1,0~+1,
d+2,l (TC),13,20s cs6~,-12,0,+5,
"d+2, 3","l, h",1320,20 6~,-6~-4,KND,CS,Tail spin
d+3 or FC+3,l (TC),12,16s cs4~,-17,-3,-3,
"d+3, 2","l (TC), m",1210,16 4~,-13~-11,Launch (JG?),Launch (JG?),
"d+3, 4","l (TC), h",1218,16 4~,-6,+5,Launch (JG?),
"d+3, 4, 3","l (TC), h, m",121820,16 4~,+2~+3s,+5~+6s,KND,
d+4,l (TC),7,12s cs4~,-13,-2,-2,
FC+d/b or d+4 FC+D/F+4,l (TC),10,12s cs1~,-15,-4,-4,
"d+4, 1","l (TC), h","7(10),10",12 1~,0,+6,+11,
"d+4, 1, d or u (Cancel)","l (TC), (Special)",7(10),12,-13(-15),-2(-4),-2(-4),
d/b+2,m?,20,24~25,-5~-4,KND,KND,"Tail spin, Homing"
d/b+3,l,17,20,-13,+3s,KND,
d/b+4,l (TC),5,16~17ad cs6~,-9~-8,+2~+3,+2~+3,
"d/b+4, 3","l (TC), m?",521,16~17 6~,-17~-16,Launch (JG?),Launch (JG?),
d/b+1+2,!,50,65,CS,CS,CS,
d/b+3+4,m?,21,19~20,-17~-16,Launch (JG?),Launch (JG?),
b+1,m,15,20~21,-18~-17,CS,CS,
b+2,h,12,12,-14,-3,-3,
"b+2, 2","h, h",1214,12,-6~-5,+5~+6,+5~+6,
"b+2, 2, 2","h, h, h",121420,12,-9~-8,+9~+10kg,+9~+10kg,
"b+2, 2, 2, u or D (Cancel)","h, h, (Special)",1214,12,-10~-9,+1~+2,+1~+2,
b+3,m,16,18,-6,+6s,+6s,
"b+3, 4","m, h",1620,18,-8~-7,KND,CS,
b+4,h,15,14,-7,+11(SH),+18,
b+1+2,"m, m",626,1826,-7,CS,CS,
b+1+4,mm,414,"16,31~32",-15~-14,Launch (JG?),Launch (JG?),
u/f+1,m (TJ),20,26s js10~,-5,KND,KND,
u/f+2,m,10,18,-10,+1,+1,
"u/f+2, 1","m, m",1010,18,-13,BU,BU,
u/b+3,m (TJ),15,14 js6~,-15,-4,-4,
u+3,m (TJ),20,14 js6~,-15,KND,KND,
u/f+3,m (TJ),20,14 js6~,-10,KND,KND,
u/f+4,h (TJ),23,18 js9~,-9,-1,-1,
"u/f+4, 3","h (TJ), l",2310,js9~34 cs35~36,-19,-8,-8,
"u/f+4, 3, 4","h (TJ), l, h",231014,9~34 35~36,-6,+5,+,
"u/f+4, 3, 4, d or u (Cancel)","h (TJ), l, (Special)",2310,js9~34 cs35~36,-5,+6,+6,
u/b+4,m (TJ),21,23~28 js7~,-9~-4,+3~+8s,KND,
u+4,m (TJ),21,23~28 js7~,-6~-1,+3~+8s,KND,
U/F+4,m (TJ),21,23~28 js9~,-6~-1,+3~+8s,KND,
"u/f, n, D+3","(Special), l (TC)",15,43 js9~ cs34~,-17,-6,-6,
"u/f, n, D+3, 2","l (TC), m",1510,43 9~ 34~,-13~-11,Launch (JG?),Launch (JG?),
"u/f, n, D+3, 4","l (TC), h",1518,43 9~ 34~,-6,+5,Launch (JG?),
"u/f, n, D+3, 4, 3","l (TC), h, m",151820,43 9~ 34~,+2~+3s,+5~+6s,KND,
"f, F+2",h,20,14(15~),-9,KND,KND,
"f, F+3",m,23,15(16~),-14,+8,CS,
"f, F+4 (Close)",m (TJ),30,28ad (29~) js5~,+11,+9s,KND,
"f, F+4",m (TJ),20,28~32ad (29~) js5~,-10~-6,+9~+13s,KND,
"f, F+4, Tech (Close)","m (TJ), (Special)",30,28a(29~) js5~,+4,+2s,KND,
"f, F+4, Tech","m (TJ), (Special)",20,28~32a (29~) js5~,-17~-13,+2~+6s,KND,
"f, F+1+2",m,26,22~23 (23~),-14~-13,KND,KND,
"f, F+1+2* (Very long hold)",m,32,33~34 (34~),+8~+9,KND,KND,
"d, D/F+4",l (TC),20,24~28s (26~) cs1~,-37,KND,YKU,
FC+d/f+4,l (TC),20,20~24s cs1~,-37,KND,YKU,
qcb,(Special),,(s),,,,
QCB+4,m,20,19~20 (21~) cs1~3,-15~-14,Launch (JG?),Launch (JG?),
"d/b, qcf, n, d/b+2+3",h!,0,35~52 (41?~),+33~+50 (SH),+33~+50 (SH),+33~+50 (SH),
"u/f+3+4 or f, f, f+3",m (TJ),"20(,18)",23ad(26~) js3~,-23,Throw(KND),Throw(KND),
"u/f+3+4 or f, f, f+3 (Crouching or far)",m (TJ),20,24~30ad (27~) js1~,-22~-16,KND,KND,
"f, f, f+1+2",m (TJ),30,20~21a (23~) js5~17,0~+1,KND,KND,
WS+1,m,14,13~14,-6~-5,+5~+6,+5~+6,
"WS+1, 4","m, m",1420,13~14,-3~-2s,KND,KND,
"WS+1, 1+2","m, hh",14615,13~14,-7~-6,KND,KND,
WS+2,m,15,15~16,-13~-12,Launch (JG?),Launch (JG?),
WS+3,m,15,18,-13,+2,+2,
WS+4,m,15,11~12,-4~-3,+7~+8,+7~+8,
"WS+4, 3","m, h",1524,11~12,-6,KND,CS,Tail spin
WS+b+1,m,13,14~15,-5~-4,+6~+7,uKZD,
FC+2,Sm (TC),8,11s cs1~,-4,+7,+7,
"FC+2, 4","Sm (TC), m",810,11 1~,-10~-8,+1~+3,+1~+3,
SS+1,m,15,14~15 (23~),-10~-9,+3~+4,+3~+4,
"SS+1, F","m, (Special)",15,14~15 (23~),+10~+11,+24~+25g,+24~+25g,
"SS+1, B","m, (Special)",15,14~15 (23~),+10~+11,+23~+24g,+23~+24g,
"SS+1, 2","m, m",1515,14~15 (23~),-6~-4,0~+2,0~+2,
SS+2,m,15,13~14 (22~),-14~-13,Launch (JG?),Launch (JG?),
SS+4,l (TC),17,20(29~) cs6~,-15,+6s,YKU,
SS+1+2,m,22,19(28~),-11,KND,KND,
Opponent Down d+3+4,l(On grounded opponent),16(立ち20),17~18,-17~-16,-8~-7s,-8~-7s,
qcf,(Special),,17~18,,,,
qcf+1+2,h(Throw),15,11,,Throw(0),,
qcf+3+4,h(Throw),15,11,,Throw(KND),,
qcf+1,h,21,13~14 (15~) cs1~3,+1~+2,+3~+4,Launch,
qcf+2,m?,25,20~21 (22~),-8~-7,KND,KND,
qcf+3,l (TC),17,19~26 (21~) cs16~,-20~-13,0~+7s,KND,
qcf+4,m,15,14(16~),-8,+6a,+6a,
"qcf+4, 2","m, h",1510,14(16~),-9,-3(Launch (JG?)),-3(Launch (JG?)),
"qcf+4, 2, 3","m, h, h",151023,14(16~),-10,KND,KND,
"qcf, 1",m,14,13~14 (16~),-6~-5,+5~+6,+5~+6,
"d, d/f, N",,,13~14 (16~),,,,
