Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
WS+3,m,18,12,-10,+4,uKZD,
"WS+3, 4","m, m",1825,12,-10,+4,KND,
WS+4,m,16,11~12,-6~-5,+5~+6,+5~+6,
WS+1+2,m,12,10~11,-5~-4,+6~+7,+6~+7,
FC+d/f+4,m,21,15~16 cs1~14,-10~-9,+13~+14kg,KND,Tail spin
SS+1,h,23,17~18 (26~),-5~-4,CS,CS,Tail spin
SS+2,m,20,20~21 (29~),-6~-5,KND,KND,
"SS+2, 3","m, l",2020,20~21 (29~),-13~-12,+5~+6,KND,
qcf or In certain strings F (to CD),(Special) (TC)(CD),,s,,,,
qcf+1,m,20,15~16 (17~),-16~-15,Launch (JG?),Launch (JG?),
qcf+2,h,18,14(16~),-6,+4,+4,
"qcf+2, 1","h, m",26,14(16~),-11,KND,KND,
qcf+1+2,m?,28,15~16 (17~),-12~-11,KND,KND,
qcf+3,m,18,12(14~),-10,+4,uKZD,
"qcf+3, 4","m, m",1825,12(14~),-10,+4,KND,
qcf+4,m,13,18(20~),-5,+1,+3,
"qcf+4, 1","m, h",1314,18(20~),0,CS,CS,
"qcf+4, 1, d or u (Cancel)","m, (Special)",13,18(20~),-11,-5,-3,
"qcf+4, 1, 2","m, h, h",131422,18(20~),-9,KND,KND,
"qcf+4, 1, 4","m, h, m (TJ)",131421,js16~,-5~-4,KND,KND,Tail spin
qcb (to SWAY),(SWAY),,16~,,,,
qcb+2,m,16,15~16 (17~),-9~-8,+6~+7,+6~+7,
"qcb+2, 4","m, h",1625,15~16 (17~),-10~-7s,KND,KND,Tail spin
qcb+3,l,21,19~20 (21~),-13~-12,+4~+5,KND,
qcb+4,m,21,17~18 (19~),-12~-11,Launch,Launch,
1+3+4 (to TNT),!,0,28~31,+16~+19,+16~+19,+16~+19,
After TNT f+2,m,10,15,-10,+1,+1,
"After TNT f+2, 1","m, m",1012,15,-10,+1,+1,
"After TNT f+2, 1, 4","m, m, m",101216,15,-161~-160,CS,CS,
"After TNT f+2, 1, 4, 2","m, m, m, h",1012165,15,-140,CS,CS,
"After TNT f+2, 1, 4, 2, 1","m, m, m, h, h",10121655,15,-134,CS,CS,
"After TNT f+2, 1, 4, 2, 1, 4","m, m, m, h, h, m (TJ)",1012165510,js16~,-136~-137,KND,KND,
"After TNT f+2, 1, 4, 2, 1, 4, 2","m, m, m, h, h, m (TJ), h",101216551028,16~,+4,KND,KND,
"After TNT f, F+2",h,44,13(14~) pc6~12,+4,KND,KND,Power crush
"After TNT u/b+1+2, ,",mm,"5,2～",1527,–,KND,KND,
