Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
d/f+1,m,13,13~14,-1~0,+7~+8,+7~+8,
d/f+2,?,14,15,-13,Launch (JG?),Launch (JG?),
WS+2,m,20,16,-13,Launch (JG?),Launch (JG?),
"WS+2 or d/f+2 When hit , 4j:3:1","m, m, m, m","14(20),20,10,25",16,,KND,KND,
d/f+3,m,15,15,-9,+2,+2,
"d/f+3, 2","m, m",1521,15,-11~-10,+2~+3s,KND,
"d/f+3, 3","m, m",1515,15,-13~-12,+8k,+8k,Tail spin
d/f+4,l (TJ),23,27 js6~23,-12,+7s,+7s,
d+2,m,17,16,+2,+2s,KND,
d+3+4 or d/b+3+4,lll,1055,"23~24, 33~34, 47s cs6~ar6~",-13,-2,-2,
"d+3+4, 3+4","lll, ll",105577,s cs1~ ar1~,-13~-12,0~+1s,0~+1s,
d+3+4:d+3+4,"lll, hml",1055777,"1~ 1~a,b",-34,-21s,-21s,
"d+3+4:d+3+4, F","lll, hml, (Special)",1055777,"1~ 1~,a",-57,-44s,-44s,
"d+3+4:d+3+4, F, 3+4","lll, hml, (Special), m (TJ)",105577730,js1~,-8~-4,KND,KND,
d/b+4,l (TC),15,18 cs6~,-16,-5,-2,
"d/b+4, 4","l (TC), m?(SCT)",1515,18 6~,-1,+3,+12,
d/b+1+2,m,20,25~26,-16~-15,Launch (JG?),Launch (JG?),
b+1,m?,27,17~19,-13~-11,KND,Launch (JG?),
b+2,m,25,22,-4,+2s,KND,
b+3,m,15,17,-11,+10kg,+10kg,"Tail spin, Homing"
"b+3, B",m,15,17b,-8,+13kg,+13kg,"Tail spin, Homing"
b+4,m,17,16,-8,+8,CS,
b+1+2,hhhh,55515,"20,26,32, 40~41 pc8~19",-8~-7,KND,KND,Power crush
u/b+4,! (TJ),60,76~77 js48~,TFU,TFU,TFU,
u/f+3(u+3 or u/b+3),"m (TJ), ?","18(15,12)",15~16 js9~,-17~-16,Launch (JG?),Launch (JG?),
u/f+4,m,13,15~16 js9~,-13~-12,Launch (JG?),Launch (JG?),
u/f+3+4,m (TJ),15,27~29 js11~,-5~-3,-8~-6s,-8~-6s,
"u/f+3+4, 3","m (TJ), l, (TWISTL)",1517,27~29 11~,-11,+7s,+7s,
"u/f+3+4, 3+4","m (TJ), m (TJ)",1515,js11~,-3~-1,+4~+6s,KND,
"u/f+3+4, 3+4, 4","m (TJ), m (TJ), m",151520,js18~,-16~-14s,KND,KND,
"f, F+3",m,25,18(19~),-6,KND,KND,
"f, f, f+3",m (TJ),27,22~25 (25~) js3~,+6~+9,KND,KND,
WS+1,m,10,14~15,-5~-4,+6~+7,+6~+7,
"WS+1, 4","m, m?",1010,14~15,-16,Launch (JG?),Launch (JG?),
WS+2,m,20,16,-13,Launch (JG?),Launch (JG?),
WS+3,m (TC),25,15~16 cs1~,-12~-11,KND,KND,
WS+4,m,15,11,-3,+8,+8,
FC+d/f+1,l (TC),15,18~19 cs1~,-14~-13,+4~+5s,KND,
FC+d/f+2,m (TC),15,21~22 cs1~20,-7~-6,+15~+16kg,+15~+16kg,Tail spin
FC+d/f+4,m,24,17~18,-17~-16,CS,CS,
SS+4,l,17,21~22b (30~) cs6~,-9~-8 (11b),+2~+3,KND,
1+2+3,(Special),,21~22 (30~) 6~,,,,
1+2+4,(Special),,21~22 (30~) 6~,,,,
d/b+3,"l, (TWISTL)",17,15,-11,+7s,+7s,
d/b+3 (After stance ends),"l, (TWISTL)",17,15,-32,-13s,-13s,
"d/b+3, b","l, (TWISTL)",17,15b,-25,-6s,-6s,
d/b+3~4,"l, l",1712,15,-13,-8,-8,
TWISTL 1,h,12,10,+1,+8,+8,
TWISTL 2,m,15,27,-4,+7,+7,
TWISTL 3,m,20,41~47,+4~+10,KND,KND,
TWISTL 4,m?(SCT),21,29,-18,-7,-7,
TWISTL d/b+4,l (TC),15,24,-16,+3s,+3s,
TWISTL d/b+4j,"l, (TWISTR)",19,28,-13,+1s,+1s,
TWISTR d/b+3j,"l, (TWISTL)",17,20,-11,+7s,+7s,
"f, F+4 or from special move","m?, (SCT)",21,26(27~),-1,+3,+12,
SCT 4,m (TJ),15,26(27~),-4~-3,KND,KND,
"SCT 4, 4","m (TJ), m (TJ)",1525,js15~,+4~+5,KND,KND,
SCT 3+4,m (TJ),15,js23~,-3~+1,+4~+8s,KND,
"SCT 3+4, 4","m (TJ), m",1520,js18~,-16~-14s,KND,KND,
SCT d/b+4,l (TC),13,cs4~,-16,-5,-2,
BT 1 or 2,h,12,8~9,+1~+2,+8~+9,+8~+9,
BT 3,m,20,15~16,-44~-43 (~20a),-23~-22a,-23~-22a,
"BT 3, 3+4","m, m",2025,js1~,-6~-4,KND(KND),KND,
BT 4,m (TJ),30,23~25 js6~,-10~-8s,KND,KND,
BT d/b or d or d/f+4,l (TC),18,19s cs4~,-16,-5,-2,
"BT d+4, 4","l (TC), m?, (SCT)",1815,19 4~,-1,+3,+12,
BT d+3+4,l,18,23 cs4~,-12,+4s,KND,
BT 3+4,m (TJ),20,28~32 js15~,-3~+1,+4~+8s,KND,
"BT 3+4, 4","m, m",2020,js17~,-16~-14s,KND,KND,
BT f+3+4,(Special)?,,b ar1~,,,,
"BT f+3+4, 3+4","(Special), mm, (Special)",1720,"24,37~ar1~",-45,CS,CS,
"BT f+3+4, 3+4, 3+4","(Special), mm, (Special), m",172030,ar1~,-8~-4,KND,KND,
