Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
b+3,h,14,14~16,-4~-2,+7~+9,+7~+9,
"b+3, 3","h, m",1425,14~16,-12~-8s,KND,KND,
b+4,m,20,18~20,-9~-7,KND,KND,"Homing, Tail spin"
b+1+2,m,18,19~20,-9~-8,+2~+3,+2~+3,
"b+1+2, 1+2","m, m",1824,19~20,-13,KND,KND,
u/f+3,m (TJ),17,28~29 js9~,-10~-9,KND,KND,
"u/f+3, 4","m (TJ), m (TJ)",1720,js1~,+1~+2,KND,KND,Tail spin
u/f+4,m (TJ),25,24~27 js9~,-5~-2,KND,KND,Tail spin
"f, F+2",m?,25,20~21 (21~),-16~-15,Launch (JG?),Launch (JG?),
"f, F+3",m,25,20~22 (21~),-3~-1s,KND,KND,
"b, f+2",m,12,15~16 (15~),-7~-6,+4~+5,+4~+5,
"b, f+2, 1","m, h",1224,15~16 (15~),-9,KND,KND,
"b, f+2, 2","m, m",1221,15~16 (15~),-12s,+1s,KND,
"b, f+2, 3","m, h",1220,15~16 (15~),-9~-8,KND,KND,Tail spin
"b, B+1+2",m,25,35~36 (36~),+8~+9,KND,KND,
"b, B+3+4",(Special),,35~36 (36~),,,,
qcf+2,m,30,15~16 (15~),-17~-16,ED,ED,
"f, f, f+3",m,30,22~25 (25~) js3~,+9~+12g,ED,ED,
WS+1,m,20,14~15,-14~-13,KND,KND,
WS+2,m (TC),20,18 cs1~8,-6,+11kg,CS,
WS+4,m,13,11~12,-3~-2,+8~+9,+8~+9,
"WS+4, 4","m, m",1316,11~12,-15~-14,-4~-3s,-4~-3s,
FC+d/f+4,l (TC),23,19~21s cs1~,-23,KND,KND,
SS+2,m,15,19(28~),-9,-1,-1,
"SS+2, 1","m, m",1521,19(28~),-12~-11,KND,KND,
"Opponent Down, d+4",l(On grounded opponent),24,19,-16,-5,-5,
2+3+4,(Special),,19,,,,
1+2+3+4,(Special),,19,,,,
"When ki-charged d, u, u or u/f+3","(Special), m (TJ)",36,28~29 (85~) js9~,-10~-9,KND,KND,
"When ki-charged d, u, u or u/f+3, 4","(Special), m (TJ), m (TJ)",3624,js1~,+1~+2,KND,KND,Tail spin
f+3+4,(Special)(h or m punch parry)(RAI),,(5~),,,,
RAI 1,h,25,17~18 (37~),-2~-1,KND,CS,Homing
RAI 2,m,20,15~16 (35~),-13~-12,KND,KND,
"RAI 2, 1","m, m",2023,15~16 (35~),-17~-16s,KND,KND,
RAI 1+2,h!,35,56(76~),CS,CS,CS,
"f, n, d, D/F",(Special),,56(76~),,,,
"f, n, d, d/f+1",m,25,19~21 (22~) ar19~,-15~-13,Launch,Launch,
"f, n, d/f+1",m (TJ),30,19~21a (21~) ar19~,-9~-7,Launch (JG?),Launch (JG?),
"f, n, d, D/F+2",h,23,11~12 (15~),-10~-9,Launch (JG?),Launch (JG?),
"f, n, d, d/f+2",h,23,11~12 (14~),+5~+6,Launch (JG?),Launch (JG?),
"f, n, d, d/f+3",m,30,27~28 (30~) js5~,+7~+8,KND,KND,
"f, n, d, D/F+3",l?,24,33~34 (37~) js5~28,-23~-22,KND,KND,
"f, n, d, d/f+4",l(HS),15,16~17 (19~),-23,+5~+6s,KND,
"f, n, d, d/f+4, 4","l, l(HS)",1510,16~17 (19~),-11,KND,KND,
"f, n, d, d/f+4, 4 (Single hit)","l, l(HS)",1510,16~17 (19~),-11,+3s,KND,
"f, n, d, d/f+4, 4, 4","l, l, l(HS)",15108,16~17 (19~),-11,KND,KND,
"f, n, d, d/f+4, 4, 4 (Single hit)","l, l, l(HS)",15108,16~17 (19~),-11,+3s,KND,
"HS n, 1",m(HS),20,ar28~,-12~-11,Launch,Launch,
"HS n, 4",m(HS),10,28~,-3~-2,+8~+9,+8~+9,
"HS n, 4, 4","m, m(HS)",1020,28~,-16~-15,-5~-4s,-5~-4s,
