Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
"f, F+2, 1, B (Cancel)","m, (Special)",14,15~17 (16~),-21~-19,-11~-9,-11~-9,
"f, F+2, 2","m, l (TC)",1421,cs15~,-19~-17,Launch,Launch,
"f, F+2, 2, B (Cancel)","m, (Special) (TC)",14,15~s,-28~-26,-18~-16,-18~-16,
"f, F+2:1","m, h",1424,15~,-4,KMeD,KMeD,
"f, F+3",m (TJ),14,15~16a (16~) js9~,-17~-16,Launch (JG?),Launch (JG?),
"f, F+3, 4","m (TJ), m (TJ)",1415,js1~,-16~-15,Launch (JG?),Launch (JG?),
"f, F+3, 4, 4","m (TJ), m (TJ), h",141525,1~,-5~-3,KND,KND,
"f, F+3, 4, f or d/f+4","m (TJ), m (TJ), m",141518,1~,-14~-12,KND,KND,
"f, F+3, 4, d or d/b+4","m (TJ), m (TJ), l (TC)",141515,s cs20~,-17~-16,-6~-5,-6~-5,
"f, F+4",m (TJ),20,23~34as (27~) js13~,-5~+6,KND,KND,
"b, f+1",h,22,28~31 (28~),-6~-3,KND,KND,
"b, B+1+2",!,80,63~64 (64~),KND,KND,KND,
WS+2,m,20,16~17,-14~-13,Launch,Launch,
WS+3,m,16,13~14,-8~-7,+3~+4,+3~+4,
"WS+3, 2","m, h",1621,13~14,-9~-8,KND,CS,Tail spin
WS+4,m,18,11~12,-6~-5,+5~+6,+5~+6,
FC+d/f+2,m,14,14~16,-17~-16,-7~-6,-7~-6,
FC+d/f+1+2,l (TC),20,32~33s cs1~,-12~-11,KND,KND,
D(Hundred and sixty frames),(Special),,32~33 1~,,,,
"D(Hundred and sixty frames)n, u+3+4 (On the way up)","m (TJ), m",48,13~18d js9~,-49~-44,Launch,Launch,
"D(Hundred and sixty frames)n, u+3+4 (On the way down)","m (TJ), m",48,46~56d js1~,-21~-11,-10~0s,-10~0s,
SS+1,h,23,20(30~),+8,KND,KND,
SS+3,l,18,19(29~),-12,+4,+12,
"Opponent Down, d+2",l(On grounded opponent),16,18,-12,+4,+4,
qcf,(Special),,18,,,,
qcf+1,h,21,16~17 (18~),-4~-3,YKU,YKU,
qcf+2 (Close),m,60,13~14 (15~),-17~-16,KND,KND,
qcf+2,m,40,13~14 (15~),-17~-16,KND,KND,
qcf+3,l (TC),17,18~19 (20~) cs6~,-14~-13,0~+1,KND,
qcf+3+4,m (TJ),40,19~20a (21~) js18~,-9~-8,Launch,Launch,
"qcf, or d, d/f, n",,,19~20 (21~) 18~,,,,
qcb,(Special),,19~20 (21~) 18~,,,,
qcb+1,m,24,21~22 (23~),0~+1s,KND,KND,
qcb+2,m,21(31),15(17~),-8,KND,KND,
qcb+3,l (TC),14,18~19s (20~) cs1~,-21~-20,-9~-8,KND,
"qcb+3, 2","l, m",1420,18~19 (20~) 1~,-10~-9,+6~+7,+6~+7,
"qcb+3, 2, 1","l, m, h",142025,18~19 (20~) 1~,-10~-9,KMeD,KMeD,
"qcb+3, 2, 3","l, m, l",182720,18~19 (20~) 1~,-13~-12,0~+1,KND,
qcb+4,h,28,15~16 (17~),+3~+4,KND,CS,"Homing, Tail spin"
qcb+1+2,m?,22,18~19 (20~),-14~-13,Launch,Launch,
