Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
d/b+4,l,17,18~19,-14~-13,+2~+3s,KND,
b+1,h,17,11,-9,+2,CS,
"b+1, F","h, (SAV)",17,11,-9,-1,CS,
b+2,h,15,16,-6,+2,+2,
"b+2, 2","h, m",1522,16s,-7~-6,+3~+4s,KND,
b+3,m (TJ),25,33~35 js16~,+7~+9,+7~+9s,KND,
"b+3, f","m (TJ), (SAV)",25,33~35 js16~,+7~+9,+7~+9s,KND,
b+4,m,25,19 pc8~18,-14,KND,KND,Power crush
u/b+1,m,15,21~22,-5~-4s,-3~-2s,-3~-2s,
"u/b+1, f","m, (SAV)",15,21~22,-5~-4s,-3~-2s,-3~-2s,
"u/b+1, 4","m, l",1517,21~22,-15,+9,+9,
u/f+1,m (TJ),21,25~26 js9~,+3~+4,KND,KND,
"u/f+1, F","m (TJ), (SAV)",21,25~26 js9~,+3~+4,KND,KND,
u/b+3,m (TJ),13,19 js9~,-10,+3,+3,
u+3,m (TJ),15,19 js9~,-10,+3,+3,
u/f+3,m (TJ),17,19 js9~,-10,+3,+3,
"u/f+3, 2","m (TJ), h",178,19 9~,-12,+6,+6,
"u/f+3, 2, 2","m (TJ), h, m",17825,19 9~,-6s,+5s,KND,
u/b+4,m (TJ),11,15~16 js9~,-20~-19,-8~-7,-8~-7,
u+4,m (TJ),15,15~16 js9~,-13~-12,KND,Launch (JG?),
u/f+4,m (TJ),13,15~16 js9~,-13~-12,Launch (JG?),Launch (JG?),
"f, F+2",m,14,18~19 (19~),-14~-13,+2~+3,+2~+3,
"f, F+2, 1","m, h",1427,18~19 (19~),-5~-4,KND,KND,
"f, F+2, 2","m, m",1423,18~19 (19~),-14,KND,KND,
"f, F+2, 2, d (Cancel)",m,14,18~19 (19~)s,-24~-23,-8~-7,-8~-7,
"f, F+3",h,33,20~21 (21~),-9~-8,KND,KND,"Homing, Tail spin"
"b, f+1",h,23,21~22 (21~),-8~-7,KND,KND,
"f, f, f+3 or WR+3",m (TJ),30,23~24 (26~) js3~,+9~+10g,KND,KND,
WS+1,m,16,11~12,-3~-2,+8~+9,+8~+9,
"WS+1, F","m, (SAV)",16,11~12,-3~-2,+8~+9,+8~+9,
WS+2,m,10,14,-8~-7,+3~+4a,+3~+4a,
"WS+2, 2","m, h",108,14,-12~-11,+6~+7(Launch (JG?)),+6~+7,
"WS+2, 2, 2","m, h, m",10825,14,-6~-5s,+5~+6s,KND,
"WS+2, 4","m, h",1025,14,-12~-11,KND (KND),KND,Tail spin
WS+3,m (TC),23,18 cs2~,-12,KND,KND,
WS+4,m,18,11~12,-6~-5,+5~+6,+5~+6,
WS+1+2,h,15,14,0,+2,+2,
FC+d/f+2,m?,24,15d,-12,+7,CS,
FC+d/f+4,l (TC),23,22~23s cs1~,-26,KND,KND,
Opponent Down d+3,On grounded opponent(l),20,20,-13,-2,-2,
1+4,(Special),,20,,,,
"3+4 or From certain moves, F (to SAV)",(SAV),,20,,,,
SAV 1,h,12,12~13 (22~),-2~-1,+6~+7,+6~+7,
"SAV 1, F","h, (SAV)",9,12~13 (22~),-2~-1,+6~+7,+6~+7,
"SAV 1, 1","h, h",920,12~13 (22~),-9~-8,KND,CS,Tail spin
"SAV 1, 2","h, m",98,12~13 (22~),-10~-9,+3~+4,+3~+4,
"SAV 1, 2, F","h, m, (SAV)",98,12~13 (22~),-10~-9,+3~+4,+3~+4,
"SAV 1, 2, 1","h, m, m",9820,12~13 (22~),-17~-16,Launch (JG?),Launch (JG?),
"SAV 1, 4","h, m",925,12~13 (22~),-10~-9,KND,KND,
SAV 2,m,27,16(26~),-12~-11,KND,KND,
SAV 3,m,12,15(25~),-5,+1,+1,
"SAV 3, F","m, (SAV)",12,15(25~),-5,+1,+1,
"SAV 3, 3","m, h",1217,15(25~),-9~-8,-2~-1,CS,
"SAV 3, 3, F","m, h, (SAV)",1217,15(25~),-9~-8,-2~-1,CS,
SAV 4,h,27,15~17 (25~),-5~-3,KND,KND,"Homing, Tail spin"
SAV 1+2,m,"20(,5)",28~29 (38~) pc6~27,-21~-20,Launch,Launch,Power crush
SAV 1+2*,m,"23(,5)",41~42 (51~) pc6~27,-12~-11,Launch,Launch,Power crush
SAV f+1+2,h,22,16~17 (26~),+5~+6s,+6~+7s,+6~+7s,
"SAV f+1+2, F","h, (SAV)",22,16~17 (26~),+5~+6s,+6~+7s,+6~+7s,
SAV d/f+1,m,15,14(24~),-2,+8,+8,
"SAV d/f+1, F","m, (SAV)",15,14(24~),-2,+8,+8,
SAV d/f+2,m?,23,19~20 (29~),-17~-16,Launch (JG?),Launch (JG?),
SAV d+4,l,8,15(25~),-14,-3,-3,
"SAV d+4, F","l, (SAV)",8,15(25~),-14,-3,-3,
"SAV d+4, 3","l, m",812,15(25~),-15,-2,-2,
"SAV d+4, 3, F","l, m, (SAV)",812,15(25~),-15,-2,-2,
SAV d/b+3,l,17,19~20 (29~),-13~-12,+5~+6s,KND,
"SAV d/b+3, F","l, (SAV)",17,19~20 (29~),-13~-12,+5~+6s,KND,
SAV d/b+4,l (TC),20,28~29s (38~) cs10~,-29,KND,KND,
SAV b+1,m,16,14~15 (24~),-7~-6,+1~+2,+1~+2,
"SAV b+1, F","m, (SAV)",16,14~15 (24~),-7~-6,+1~+2,+1~+2,
"SAV b+1, 2","m, l (TC)",1615,s cs15~,-18~-17,KND,KND,
"SAV b+1, 4","m, m",1617,15~,-10~-9,+8~+9,KND,
SAV b+2,m(Absorbs 1 h/m hit),20,23(33~) (捌4~10),-12,KND,KND,
SAV b+3,h,20,17~18 (27~) pc8~16,-9~-8,KND,KND,Power crush
"SAV b+3, F","h, (SAV)",20,17~18 (27~) pc8~16,-9~-8,KND,KND,Power crush
SAV u/f+3,m,25,15~16 (25~) js14~,-9~-8,KND,KND,
"SAV , ,",,,(+10~),,,,
